#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21788203, SEN S/N: 21788203, LBL: Logger 4 )",Coupler Detached (LGR S/N: 21788203),Coupler Attached (LGR S/N: 21788203),Host Connected (LGR S/N: 21788203),Stopped (LGR S/N: 21788203),End Of File (LGR S/N: 21788203)
1,9/24/2025 11:30,21.079,Logged,,,,
2,9/24/2025 11:40,21.056,,,,,
3,9/24/2025 11:50,21.032,,,,,
4,9/24/2025 12:00,21.056,,,,,
5,9/24/2025 12:10,21.056,,,,,
6,9/24/2025 12:20,21.032,,,,,
7,9/24/2025 12:30,21.008,,,,,
8,9/24/2025 12:40,21.032,,,,,
9,9/24/2025 12:50,21.032,,,,,
10,9/24/2025 13:00,21.056,,,,,
11,9/24/2025 13:10,21.103,,,,,
12,9/24/2025 13:20,21.103,,,,,
13,9/24/2025 13:30,21.103,,,,,
14,9/24/2025 13:40,21.079,,,,,
15,9/24/2025 13:50,21.103,,,,,
16,9/24/2025 14:00,21.103,,,,,
17,9/24/2025 14:10,21.127,,,,,
18,9/24/2025 14:20,21.175,,,,,
19,9/24/2025 14:30,21.175,,,,,
20,9/24/2025 14:40,21.151,,,,,
21,9/24/2025 14:50,21.151,,,,,
22,9/24/2025 15:00,21.175,,,,,
23,9/24/2025 15:10,21.151,,,,,
24,9/24/2025 15:20,21.151,,,,,
25,9/24/2025 15:30,21.127,,,,,
26,9/24/2025 15:40,21.032,,,,,
27,9/24/2025 15:50,21.008,,,,,
28,9/24/2025 16:00,21.008,,,,,
29,9/24/2025 16:10,21.008,,,,,
30,9/24/2025 16:20,21.008,,,,,
31,9/24/2025 16:30,21.032,,,,,
32,9/24/2025 16:40,21.032,,,,,
33,9/24/2025 16:50,21.032,,,,,
34,9/24/2025 17:00,21.008,,,,,
35,9/24/2025 17:10,21.008,,,,,
36,9/24/2025 17:20,20.984,,,,,
37,9/24/2025 17:30,20.984,,,,,
38,9/24/2025 17:40,20.984,,,,,
39,9/24/2025 17:50,20.984,,,,,
40,9/24/2025 18:00,20.96,,,,,
41,9/24/2025 18:10,20.96,,,,,
42,9/24/2025 18:20,20.96,,,,,
43,9/24/2025 18:30,20.936,,,,,
44,9/24/2025 18:40,20.913,,,,,
45,9/24/2025 18:50,20.913,,,,,
46,9/24/2025 19:00,20.913,,,,,
47,9/24/2025 19:10,20.96,,,,,
48,9/24/2025 19:20,20.936,,,,,
49,9/24/2025 19:30,20.889,,,,,
50,9/24/2025 19:40,20.865,,,,,
51,9/24/2025 19:50,20.841,,,,,
52,9/24/2025 20:00,20.817,,,,,
53,9/24/2025 20:10,20.793,,,,,
54,9/24/2025 20:20,20.77,,,,,
55,9/24/2025 20:30,20.77,,,,,
56,9/24/2025 20:40,20.746,,,,,
57,9/24/2025 20:50,20.722,,,,,
58,9/24/2025 21:00,20.722,,,,,
59,9/24/2025 21:10,20.698,,,,,
60,9/24/2025 21:20,20.674,,,,,
61,9/24/2025 21:30,20.627,,,,,
62,9/24/2025 21:40,20.579,,,,,
63,9/24/2025 21:50,20.579,,,,,
64,9/24/2025 22:00,20.579,,,,,
65,9/24/2025 22:10,20.555,,,,,
66,9/24/2025 22:20,20.555,,,,,
67,9/24/2025 22:30,20.555,,,,,
68,9/24/2025 22:40,20.555,,,,,
69,9/24/2025 22:50,20.579,,,,,
70,9/24/2025 23:00,20.579,,,,,
71,9/24/2025 23:10,20.531,,,,,
72,9/24/2025 23:20,20.531,,,,,
73,9/24/2025 23:30,20.484,,,,,
74,9/24/2025 23:40,20.46,,,,,
75,9/24/2025 23:50,20.436,,,,,
76,9/25/2025 0:00,20.412,,,,,
77,9/25/2025 0:10,20.388,,,,,
78,9/25/2025 0:20,20.388,,,,,
79,9/25/2025 0:30,20.365,,,,,
80,9/25/2025 0:40,20.341,,,,,
81,9/25/2025 0:50,20.341,,,,,
82,9/25/2025 1:00,20.341,,,,,
83,9/25/2025 1:10,20.317,,,,,
84,9/25/2025 1:20,20.317,,,,,
85,9/25/2025 1:30,20.293,,,,,
86,9/25/2025 1:40,20.269,,,,,
87,9/25/2025 1:50,20.269,,,,,
88,9/25/2025 2:00,20.269,,,,,
89,9/25/2025 2:10,20.246,,,,,
90,9/25/2025 2:20,20.246,,,,,
91,9/25/2025 2:30,20.246,,,,,
92,9/25/2025 2:40,20.246,,,,,
93,9/25/2025 2:50,20.222,,,,,
94,9/25/2025 3:00,20.222,,,,,
95,9/25/2025 3:10,20.222,,,,,
96,9/25/2025 3:20,20.222,,,,,
97,9/25/2025 3:30,20.198,,,,,
98,9/25/2025 3:40,20.198,,,,,
99,9/25/2025 3:50,20.198,,,,,
100,9/25/2025 4:00,20.198,,,,,
101,9/25/2025 4:10,20.198,,,,,
102,9/25/2025 4:20,20.174,,,,,
103,9/25/2025 4:30,20.174,,,,,
104,9/25/2025 4:40,20.15,,,,,
105,9/25/2025 4:50,20.126,,,,,
106,9/25/2025 5:00,20.103,,,,,
107,9/25/2025 5:10,20.103,,,,,
108,9/25/2025 5:20,20.079,,,,,
109,9/25/2025 5:30,20.055,,,,,
110,9/25/2025 5:40,20.055,,,,,
111,9/25/2025 5:50,20.031,,,,,
112,9/25/2025 6:00,20.031,,,,,
113,9/25/2025 6:10,20.031,,,,,
114,9/25/2025 6:20,20.031,,,,,
115,9/25/2025 6:30,20.031,,,,,
116,9/25/2025 6:40,20.031,,,,,
117,9/25/2025 6:50,20.031,,,,,
118,9/25/2025 7:00,20.007,,,,,
119,9/25/2025 7:10,20.007,,,,,
120,9/25/2025 7:20,20.031,,,,,
121,9/25/2025 7:30,20.031,,,,,
122,9/25/2025 7:40,20.031,,,,,
123,9/25/2025 7:50,20.031,,,,,
124,9/25/2025 8:00,20.007,,,,,
125,9/25/2025 8:10,19.96,,,,,
126,9/25/2025 8:20,19.936,,,,,
127,9/25/2025 8:30,19.912,,,,,
128,9/25/2025 8:40,19.888,,,,,
129,9/25/2025 8:50,19.888,,,,,
130,9/25/2025 9:00,19.912,,,,,
131,9/25/2025 9:10,19.936,,,,,
132,9/25/2025 9:20,19.96,,,,,
133,9/25/2025 9:30,19.984,,,,,
134,9/25/2025 9:40,20.007,,,,,
135,9/25/2025 9:50,20.007,,,,,
136,9/25/2025 10:00,20.031,,,,,
137,9/25/2025 10:10,20.055,,,,,
138,9/25/2025 10:20,20.079,,,,,
139,9/25/2025 10:30,20.103,,,,,
140,9/25/2025 10:40,20.341,,,,,
141,9/25/2025 10:50,20.603,,,,,
142,9/25/2025 11:00,20.793,,,,,
143,9/25/2025 11:10,20.889,,,,,
144,9/25/2025 11:20,20.913,,,,,
145,9/25/2025 11:30,20.96,,,,,
146,9/25/2025 11:40,20.96,,,,,
147,9/25/2025 11:50,21.008,,,,,
148,9/25/2025 12:00,20.96,,,,,
149,9/25/2025 12:10,20.96,,,,,
150,9/25/2025 12:20,21.008,,,,,
151,9/25/2025 12:30,20.936,,,,,
152,9/25/2025 12:40,20.865,,,,,
153,9/25/2025 12:50,21.127,,,,,
154,9/25/2025 13:00,21.175,,,,,
155,9/25/2025 13:10,21.294,,,,,
156,9/25/2025 13:20,21.27,,,,,
157,9/25/2025 13:30,21.223,,,,,
158,9/25/2025 13:40,21.175,,,,,
159,9/25/2025 13:50,21.246,,,,,
160,9/25/2025 14:00,21.246,,,,,
161,9/25/2025 14:10,21.246,,,,,
162,9/25/2025 14:20,21.27,,,,,
163,9/25/2025 14:30,21.27,,,,,
164,9/25/2025 14:40,21.246,,,,,
165,9/25/2025 14:50,20.913,,,,,
166,9/25/2025 15:00,20.913,,,,,
167,9/25/2025 15:10,20.793,,,,,
168,9/25/2025 15:20,20.77,,,,,
169,9/25/2025 15:30,20.722,,,,,
170,9/25/2025 15:40,20.65,,,,,
171,9/25/2025 15:50,20.65,,,,,
172,9/25/2025 16:00,20.674,,,,,
173,9/25/2025 16:10,20.722,,,,,
174,9/25/2025 16:20,20.722,,,,,
175,9/25/2025 16:30,20.722,,,,,
176,9/25/2025 16:40,20.746,,,,,
177,9/25/2025 16:50,20.77,,,,,
178,9/25/2025 17:00,20.817,,,,,
179,9/25/2025 17:10,20.817,,,,,
180,9/25/2025 17:20,20.793,,,,,
181,9/25/2025 17:30,20.817,,,,,
182,9/25/2025 17:40,20.817,,,,,
183,9/25/2025 17:50,20.793,,,,,
