#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 21789647, SEN S/N: 21789647, LBL: Water temperature )",Coupler Detached (LGR S/N: 21789647),Coupler Attached (LGR S/N: 21789647),Host Connected (LGR S/N: 21789647),Stopped (LGR S/N: 21789647),End Of File (LGR S/N: 21789647)
1,9/24/2025 11:30,20.96,Logged,,,,
2,9/24/2025 11:40,20.96,,,,,
3,9/24/2025 11:50,20.96,,,,,
4,9/24/2025 12:00,20.984,,,,,
5,9/24/2025 12:10,20.984,,,,,
6,9/24/2025 12:20,20.984,,,,,
7,9/24/2025 12:30,20.96,,,,,
8,9/24/2025 12:40,20.96,,,,,
9,9/24/2025 12:50,20.96,,,,,
10,9/24/2025 13:00,20.984,,,,,
11,9/24/2025 13:10,21.008,,,,,
12,9/24/2025 13:20,21.032,,,,,
13,9/24/2025 13:30,21.008,,,,,
14,9/24/2025 13:40,21.008,,,,,
15,9/24/2025 13:50,21.032,,,,,
16,9/24/2025 14:00,21.032,,,,,
17,9/24/2025 14:10,21.056,,,,,
18,9/24/2025 14:20,21.079,,,,,
19,9/24/2025 14:30,21.079,,,,,
20,9/24/2025 14:40,21.056,,,,,
21,9/24/2025 14:50,21.056,,,,,
22,9/24/2025 15:00,21.079,,,,,
23,9/24/2025 15:10,21.079,,,,,
24,9/24/2025 15:20,21.079,,,,,
25,9/24/2025 15:30,21.056,,,,,
26,9/24/2025 15:40,21.008,,,,,
27,9/24/2025 15:50,20.984,,,,,
28,9/24/2025 16:00,20.984,,,,,
29,9/24/2025 16:10,20.984,,,,,
30,9/24/2025 16:20,20.984,,,,,
31,9/24/2025 16:30,21.008,,,,,
32,9/24/2025 16:40,21.008,,,,,
33,9/24/2025 16:50,21.008,,,,,
34,9/24/2025 17:00,21.008,,,,,
35,9/24/2025 17:10,20.984,,,,,
36,9/24/2025 17:20,20.984,,,,,
37,9/24/2025 17:30,20.96,,,,,
38,9/24/2025 17:40,20.96,,,,,
39,9/24/2025 17:50,20.96,,,,,
40,9/24/2025 18:00,20.96,,,,,
41,9/24/2025 18:10,20.96,,,,,
42,9/24/2025 18:20,20.96,,,,,
43,9/24/2025 18:30,20.936,,,,,
44,9/24/2025 18:40,20.936,,,,,
45,9/24/2025 18:50,20.936,,,,,
46,9/24/2025 19:00,20.936,,,,,
47,9/24/2025 19:10,20.936,,,,,
48,9/24/2025 19:20,20.936,,,,,
49,9/24/2025 19:30,20.936,,,,,
50,9/24/2025 19:40,20.913,,,,,
51,9/24/2025 19:50,20.889,,,,,
52,9/24/2025 20:00,20.865,,,,,
53,9/24/2025 20:10,20.865,,,,,
54,9/24/2025 20:20,20.865,,,,,
55,9/24/2025 20:30,20.841,,,,,
56,9/24/2025 20:40,20.841,,,,,
57,9/24/2025 20:50,20.817,,,,,
58,9/24/2025 21:00,20.817,,,,,
59,9/24/2025 21:10,20.817,,,,,
60,9/24/2025 21:20,20.817,,,,,
61,9/24/2025 21:30,20.817,,,,,
62,9/24/2025 21:40,20.817,,,,,
63,9/24/2025 21:50,20.817,,,,,
64,9/24/2025 22:00,20.793,,,,,
65,9/24/2025 22:10,20.793,,,,,
66,9/24/2025 22:20,20.793,,,,,
67,9/24/2025 22:30,20.793,,,,,
68,9/24/2025 22:40,20.793,,,,,
69,9/24/2025 22:50,20.817,,,,,
70,9/24/2025 23:00,20.793,,,,,
71,9/24/2025 23:10,20.793,,,,,
72,9/24/2025 23:20,20.77,,,,,
73,9/24/2025 23:30,20.746,,,,,
74,9/24/2025 23:40,20.746,,,,,
75,9/24/2025 23:50,20.722,,,,,
76,9/25/2025 0:00,20.698,,,,,
77,9/25/2025 0:10,20.698,,,,,
78,9/25/2025 0:20,20.698,,,,,
79,9/25/2025 0:30,20.698,,,,,
80,9/25/2025 0:40,20.674,,,,,
81,9/25/2025 0:50,20.674,,,,,
82,9/25/2025 1:00,20.674,,,,,
83,9/25/2025 1:10,20.674,,,,,
84,9/25/2025 1:20,20.674,,,,,
85,9/25/2025 1:30,20.65,,,,,
86,9/25/2025 1:40,20.65,,,,,
87,9/25/2025 1:50,20.65,,,,,
88,9/25/2025 2:00,20.65,,,,,
89,9/25/2025 2:10,20.65,,,,,
90,9/25/2025 2:20,20.65,,,,,
91,9/25/2025 2:30,20.627,,,,,
92,9/25/2025 2:40,20.627,,,,,
93,9/25/2025 2:50,20.65,,,,,
94,9/25/2025 3:00,20.627,,,,,
95,9/25/2025 3:10,20.627,,,,,
96,9/25/2025 3:20,20.627,,,,,
97,9/25/2025 3:30,20.627,,,,,
98,9/25/2025 3:40,20.627,,,,,
99,9/25/2025 3:50,20.627,,,,,
100,9/25/2025 4:00,20.627,,,,,
101,9/25/2025 4:10,20.627,,,,,
102,9/25/2025 4:20,20.627,,,,,
103,9/25/2025 4:30,20.603,,,,,
104,9/25/2025 4:40,20.579,,,,,
105,9/25/2025 4:50,20.555,,,,,
106,9/25/2025 5:00,20.531,,,,,
107,9/25/2025 5:10,20.531,,,,,
108,9/25/2025 5:20,20.507,,,,,
109,9/25/2025 5:30,20.507,,,,,
110,9/25/2025 5:40,20.507,,,,,
111,9/25/2025 5:50,20.507,,,,,
112,9/25/2025 6:00,20.531,,,,,
113,9/25/2025 6:10,20.531,,,,,
114,9/25/2025 6:20,20.531,,,,,
115,9/25/2025 6:30,20.507,,,,,
116,9/25/2025 6:40,20.507,,,,,
117,9/25/2025 6:50,20.484,,,,,
118,9/25/2025 7:00,20.484,,,,,
119,9/25/2025 7:10,20.484,,,,,
120,9/25/2025 7:20,20.507,,,,,
121,9/25/2025 7:30,20.507,,,,,
122,9/25/2025 7:40,20.531,,,,,
123,9/25/2025 7:50,20.507,,,,,
124,9/25/2025 8:00,20.484,,,,,
125,9/25/2025 8:10,20.412,,,,,
126,9/25/2025 8:20,20.388,,,,,
127,9/25/2025 8:30,20.365,,,,,
128,9/25/2025 8:40,20.365,,,,,
129,9/25/2025 8:50,20.388,,,,,
130,9/25/2025 9:00,20.412,,,,,
131,9/25/2025 9:10,20.436,,,,,
132,9/25/2025 9:20,20.436,,,,,
133,9/25/2025 9:30,20.46,,,,,
134,9/25/2025 9:40,20.507,,,,,
135,9/25/2025 9:50,20.531,,,,,
136,9/25/2025 10:00,20.555,,,,,
137,9/25/2025 10:10,20.579,,,,,
138,9/25/2025 10:20,20.603,,,,,
139,9/25/2025 10:30,20.627,,,,,
140,9/25/2025 10:40,20.627,,,,,
141,9/25/2025 10:50,20.65,,,,,
142,9/25/2025 11:00,20.674,,,,,
143,9/25/2025 11:10,20.698,,,,,
144,9/25/2025 11:20,20.698,,,,,
145,9/25/2025 11:30,20.722,,,,,
146,9/25/2025 11:40,20.722,,,,,
147,9/25/2025 11:50,20.746,,,,,
148,9/25/2025 12:00,20.746,,,,,
149,9/25/2025 12:10,20.746,,,,,
